Individuals;Microsatellite PSA (39);Microsatellite PSA (223);Microsatellite Jaccard (39);Microsatellite Jaccard (223);SNP Cosine
T17;76.92307692307693;83.33333333333334;67.22222222222223;75.10204081632654;96.73146763512071
T18;76.92307692307693;83.33333333333334;82.89855072463767;84.822695035461;96.43238624225593
T26;84.61538461538463;91.66666666666667;88.0;89.44444444444444;97.85943174535355
T50;84.61538461538463;83.33333333333334;81.86046511627907;82.27642276422765;96.86391796624653
T52;92.3076923076923;91.66666666666667;100.0;93.33333333333333;97.71843623157444
T57;84.61538461538463;83.33333333333334;76.52173913043478;80.0;98.5985900448622
T74;76.92307692307693;83.33333333333334;81.13475177304966;81.36054421768708;97.03909421063875
T59;92.3076923076923;100.0;93.33333333333333;93.87755102040816;97.83379619739372
T77;69.23076923076923;75.0;66.66666666666667;68.14814814814815;97.72698141422774
T98;76.92307692307693;83.33333333333334;74.8936170212766;78.29787234042553;97.09036530655843
T103;92.3076923076923;91.66666666666667;93.33333333333333;86.66666666666666;95.26169621875667
T105;100.0;100.0;95.78231292517006;93.87755102040816;96.17603076265755
T107;92.3076923076923;91.66666666666667;89.27536231884059;89.44444444444444;98.66695150608844
T114;84.61538461538463;83.33333333333334;89.27536231884059;90.60606060606061;97.53471480452895
T118;76.92307692307693;75.0;76.52173913043478;78.44961240310077;97.89788506729332
T130;92.3076923076923;91.66666666666667;90.7936507936508;86.66666666666666;100.0
T142;76.92307692307693;75.0;80.0;76.66666666666666;97.03482161931211
T164;84.61538461538463;91.66666666666667;87.3758865248227;87.6190476190476;99.22666096987824
T173;92.3076923076923;91.66666666666667;99.8581560283688;89.44444444444444;95.30014954069644
T175;84.61538461538463;83.33333333333334;87.3758865248227;75.10204081632654;96.34266182439649
T176;76.92307692307693;75.0;85.55555555555556;81.77777777777777;98.85067293313395
T177;76.92307692307693;83.33333333333334;89.27536231884059;84.822695035461;94.90707113864558
T64;84.61538461538463;83.33333333333334;78.22222222222223;81.77777777777777;95.49241615039521
T70;92.3076923076923;83.33333333333334;95.50387596899226;90.60606060606061;95.20615253151036
T81;76.92307692307693;83.33333333333334;67.22222222222223;71.77304964539007;97.65434736167485
T84;84.61538461538463;91.66666666666667;86.66666666666669;84.822695035461;97.27408673360392
T85;84.61538461538463;83.33333333333334;80.0;80.0;98.24396496475111
T86;84.61538461538463;83.33333333333334;81.86046511627907;83.63636363636363;97.29972228156377
T90;76.92307692307693;83.33333333333334;76.52173913043478;76.66666666666666;97.02627643665883
T109;76.92307692307693;83.33333333333334;82.89855072463767;84.822695035461;98.72249519333477
T112;84.61538461538463;83.33333333333334;78.22222222222223;79.73333333333333;97.78252510147404
T120;84.61538461538463;83.33333333333334;100.0;83.63636363636363;99.2138431958983
T138;76.92307692307693;75.0;81.13475177304966;69.69696969696969;99.39756462294382
T150;92.3076923076923;91.66666666666667;95.6521739130435;86.66666666666666;95.95812860499893
T153;84.61538461538463;75.0;82.89855072463767;76.66666666666666;95.89831232642597
T155;92.3076923076923;83.33333333333334;95.6521739130435;93.33333333333333;97.32535782952361
T167;84.61538461538463;83.33333333333334;89.27536231884059;78.44961240310077;97.21854304635762
T168;84.61538461538463;83.33333333333334;88.0;79.73333333333333;97.65007477034821
T178;84.61538461538463;75.0;86.66666666666669;78.44961240310077;97.7227088229011
